<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20220213,43210.00,44270,43200,43680.00,43750,29344272240.00,212,43750
جم-ا,20220214,44650.00,44650,43010,43670.00,43680,11832930990.00,323,43680
جم-ا,20220216,44070.00,44290,43010,43640.00,43670,33131250370.00,482,43670
جم-ا,20220219,44150.00,44150,42500,43540.00,43640,32287155110.00,367,43640
جم-ا,20220220,43000.00,43700,42600,43390.00,43540,30574587750.00,183,43540
جم-ا,20220221,43380.00,43400,42010,43230.00,43390,29157361170.00,581,43390
جم-ا,20220222,43000.00,43400,42110,42500.00,43230,94209348200.00,474,43230
جم-ا,20220223,42800.00,43000,42200,42500.00,42500,152561997000.00,181,42500
جم-ا,20220226,42300.00,43100,42250,42540.00,42500,11442871860.00,141,42500
جم-ا,20220227,42540.00,43000,42160,42540.00,42540,104135309270.00,267,42540
جم-ا,20220228,42540.00,42550,42150,42510.00,42540,17848047810.00,152,42540
جم-ا,20220302,43090.00,43090,42250,42510.00,42510,23131670290.00,193,42510
جم-ا,20220305,42400.00,43000,42220,42530.00,42510,25021826160.00,164,42510
جم-ا,20220306,42900.00,43390,42200,42530.00,42530,10454776660.00,206,42530
جم-ا,20220307,42700.00,44000,42600,42810.00,42530,35900031250.00,349,42530
جم-ا,20220308,44190.00,44190,42150,42800.00,42810,16361110940.00,199,42810
جم-ا,20220309,42190.00,43350,42190,42710.00,42800,33862804450.00,463,42800
جم-ا,20220312,42990.00,43000,42100,42610.00,42710,26087960490.00,282,42710
جم-ا,20220313,42610.00,42610,41160,42480.00,42610,12143526060.00,292,42610
جم-ا,20220314,42000.00,43000,41720,42450.00,42480,28062065900.00,224,42480
جم-ا,20220315,42400.00,42800,41000,42330.00,42450,24597966590.00,363,42450
جم-ا,20220316,41160.00,42410,41160,42300.00,42330,8579162780.00,174,42330
جم-ا,20220319,42350.00,42900,42210,42330.00,42300,81769917370.00,450,42300
جم-ا,20220326,42990.00,42990,42000,42260.00,42330,75138334040.00,432,42330
جم-ا,20220327,42070.00,42300,41510,42180.00,42260,32306626540.00,464,42260
جم-ا,20220328,42470.00,42500,41930,42310.00,42180,93857075740.00,696,42180
جم-ا,20220329,42700.00,44420,42640,43930.00,42310,117922869920.00,1096,42310
